"Год","Регион","salary","invest"
2001,"Чукотский авт.округ",7951.9,195.8
2001,"Ярославская область",2518.2,792.4
2001,"Республика Адыгея",1642.5,357.1
2001,"Хабаровский край",3395.8,928.7
2001,"Республика Башкор...",2400.2,7696.4
2001,"Республика Бурятия",2262.4,645.6
2001,"Республика Дагестан",1141.2,3415
2001,"Кабардино-Балкарс...",1465.7,1680.5
2001,"Республика Алтай",1620,30.9
2001,"Республика Калмыкия",1545.5,271.5
2001,"Республика Карелия",2930.8,570.4
2001,"Республика Коми",4862.1,871.5
2001,"Республика Марий Эл",1387.6,509.2
2001,"Республика Мордовия",1570.2,829.9
2001,"Республика Северн...",1632.2,728.5
2001,"Карачаево-Черкесс...",1341.7,281
2001,"Республика Татарстан",2471.8,6910.7
2001,"Республика Тыва",1638.3,83
2001,"Удмуртская Респуб...",2024.7,1395
2001,"Республика Хакасия",2475.5,520.3
2001,"Чувашская Республика",1553.3,1938.9
2001,"Республика Саха (...",5009.9,3536.1
2001,"Еврейская автоном...",2028.9,58.4
2002,"Алтайский край",2194.2,1465.1
2002,"Амурская область",2874.6,928.5
2002,"Ненецкий авт.округ",8621.1,179.3
2002,"Астраханская область",3058,3249
2002,"Белгородская область",2762.3,1876
2002,"Брянская область",2452.4,753.5
2002,"Владимирская область",2158,1166
2002,"Волгоградская обл...",2952.1,1705.7
2002,"Вологодская область",3481.3,789.4
2002,"Воронежская область",2597.4,3067.6
2002,"Нижегородская обл...",3214.6,3543.9
2002,"Ивановская область",1778.4,398.8
2002,"Иркутская область",3609.9,1720.8
2002,"Усть-Ордынский Бу...",1222.2,44.8
2002,"Республика Ингушетия",1170.7,90.9
2002,"Калининградская о...",2716.1,823
2002,"Тверская область",2349.2,2086.4
2002,"Калужская область",2503.3,1008.3
2002,"Краснодарский край",2856.8,7696.7
2002,"Камчатский край",5915.6,286.1
2002,"Корякский авт.округ",6921.2,0.3
2002,"Кемеровская область",3993.6,1969.5
2002,"Кировская область",2517.4,711.3
2002,"Костромская область",2515.7,540
2002,"Самарская область",4270.3,3997.7
2002,"Курганская область",2419.3,342.9
2002,"Курская область",2698.5,1048.8
2002,"Красноярский край",4346.1,3522.1
2002,"г.Санкт-Петербург",4514.4,6061.2
2002,"Таймырский (Долга...",8460.9,81.7
2002,"Ленинградская обл...",2417.5,4219
2002,"Эвенкийский авт.о...",4952.2,1.3
2002,"Липецкая область",2776.2,1622
2002,"Магаданская область",6748.5,34.3
2002,"г.Москва",12460.8,44192.6
2002,"Московская область",3546,21389.3
2002,"Мурманская область",5892.5,52.9
2002,"Новгородская область",3008.5,591.7
2002,"Приморский край",3122.4,1440.8
2002,"Новосибирская обл...",2933,2067.1
2002,"Омская область",3221.8,1107.2
2002,"Оренбургская область",2481.8,2305.8
2002,"Орловская область",2614.4,1085.3
2002,"Пензенская область",2221.4,1170.6
2002,"Пермский край",4129.5,2716.8
2002,"Коми-Пермяцкий ав...",1591.2,37.2
2002,"Псковская область",2735,551.1
2002,"Ростовская область",3025.7,4204.1
2002,"Рязанская область",2530.9,891
2002,"Саратовская область",2620.7,2030.2
2002,"Сахалинская область",5522.8,734.9
2002,"Свердловская область",3954.1,4463.4
2002,"Смоленская область",3003.5,1272.5
2002,"Тамбовская область",2688.3,1317.1
2002,"Томская область",3954.3,647.1
2002,"Ставропольский край",2335.2,3034.7
